jahr,bezirk,ortsteil,leitung16,leitung50
2012,"Treptow-Köpenick","Schmöckwitz",72,5
2013,"Charlottenburg-Wilmersdorf","Charlottenburg",100,97
2013,"Charlottenburg-Wilmersdorf","Charlottenburg-Nord",97,93
2013,"Charlottenburg-Wilmersdorf","Grunewald",99,95
2013,"Charlottenburg-Wilmersdorf","Halensee",99,98
2013,"Charlottenburg-Wilmersdorf","Schmargendorf",100,95
2013,"Charlottenburg-Wilmersdorf","Westend",98,92
2013,"Charlottenburg-Wilmersdorf","Wilmersdorf",100,98
2013,"Friedrichshain-Kreuzberg","Friedrichshain",97,77
2013,"Friedrichshain-Kreuzberg","Kreuzberg",98,86
2013,"Lichtenberg","Alt-Hohenschönhausen",95,86
2013,"Lichtenberg","Falkenberg",85,64
2013,"Lichtenberg","Fennpfuhl",88,46
2013,"Lichtenberg","Friedrichsfelde",93,65
2013,"Lichtenberg","Karlshorst",95,85
2013,"Lichtenberg","Lichtenberg",91,73
2013,"Lichtenberg","Malchow",78,72
2013,"Lichtenberg","Neu-Hohenschönhausen",96,94
2013,"Lichtenberg","Rummelsburg",97,69
2013,"Lichtenberg","Wartenberg",74,36
2013,"Marzahn-Hellersdorf","Biesdorf",98,82
2013,"Marzahn-Hellersdorf","Hellersdorf",99,84
2013,"Marzahn-Hellersdorf","Kaulsdorf",97,77
2013,"Marzahn-Hellersdorf","Mahlsdorf",95,72
2013,"Marzahn-Hellersdorf","Marzahn",98,82
2013,"Mitte","Gesundbrunnen",98,88
2013,"Mitte","Hansaviertel",100,92
2013,"Mitte","Mitte",99,94
2013,"Mitte","Moabit",99,95
2013,"Mitte","Tiergarten",99,95
2013,"Mitte","Wedding",99,96
2013,"Neukölln","Britz",97,88
2013,"Neukölln","Buckow",98,84
2013,"Neukölln","Gropiusstadt",97,83
2013,"Neukölln","Neukölln",100,94
2013,"Neukölln","Rudow",97,83
2013,"Pankow","Blankenburg",81,61
2013,"Pankow","Blankenfelde",60,26
2013,"Pankow","Buch",91,71
2013,"Pankow","Französisch Buchholz",93,69
2013,"Pankow","Heinersdorf",96,69
2013,"Pankow","Karow",70,20
2013,"Pankow","Niederschönhausen",87,82
2013,"Pankow","Pankow",92,90
2013,"Pankow","Prenzlauer Berg",99,95
2013,"Pankow","Rosenthal",88,62
2013,"Pankow","Stadtrandsiedlung Malchow",87,20
2013,"Pankow","Weißensee",79,74
2013,"Pankow","Wilhelmsruh",100,92
2013,"Reinickendorf","Frohnau",99,86
2013,"Reinickendorf","Heiligensee",98,79
2013,"Reinickendorf","Hermsdorf",99,83
2013,"Reinickendorf","Konradshöhe",98,91
2013,"Reinickendorf","Lübars",99,85
2013,"Reinickendorf","Märkisches Viertel",99,70
2013,"Reinickendorf","Reinickendorf",99,92
2013,"Reinickendorf","Tegel",98,87
2013,"Reinickendorf","Waldmannslust",99,91
2013,"Reinickendorf","Wittenau",99,89
2013,"Spandau","Falkenhagener Feld",98,86
2013,"Spandau","Gatow",86,79
2013,"Spandau","Hakenfelde",92,84
2013,"Spandau","Haselhorst",99,92
2013,"Spandau","Kladow",81,78
2013,"Spandau","Siemensstadt",95,90
2013,"Spandau","Spandau",99,94
2013,"Spandau","Staaken",97,83
2013,"Spandau","Wilhelmsstadt",99,94
2013,"Steglitz-Zehlendorf","Dahlem",94,88
2013,"Steglitz-Zehlendorf","Lankwitz",100,92
2013,"Steglitz-Zehlendorf","Lichterfelde",98,90
2013,"Steglitz-Zehlendorf","Nikolassee",97,82
2013,"Steglitz-Zehlendorf","Steglitz",100,98
2013,"Steglitz-Zehlendorf","Wannsee",99,85
2013,"Steglitz-Zehlendorf","Zehlendorf",99,89
2013,"Tempelhof-Schöneberg","Friedenau",100,99
2013,"Tempelhof-Schöneberg","Lichtenrade",99,90
2013,"Tempelhof-Schöneberg","Mariendorf",98,93
2013,"Tempelhof-Schöneberg","Marienfelde",95,87
2013,"Tempelhof-Schöneberg","Schöneberg",99,94
2013,"Tempelhof-Schöneberg","Tempelhof",99,91
2013,"Treptow-Köpenick","Adlershof",99,91
2013,"Treptow-Köpenick","Altglienicke",97,79
2013,"Treptow-Köpenick","Alt-Treptow",99,95
2013,"Treptow-Köpenick","Baumschulenweg",94,86
2013,"Treptow-Köpenick","Bohnsdorf",95,64
2013,"Treptow-Köpenick","Friedrichshagen",97,88
2013,"Treptow-Köpenick","Grünau",98,85
2013,"Treptow-Köpenick","Johannistal",99,90
2013,"Treptow-Köpenick","Köpenick",96,80
2013,"Treptow-Köpenick","Müggelheim",85,46
2013,"Treptow-Köpenick","Niederschöneweide",99,92
