id,t1_mean,t1_median,t2_mean,t2_median,t3_mean,t3_median,t4_mean,t4_median,t5_mean,t5_median,t6_mean,t6_median,t7_mean,t7_median,t8_mean,t8_median,t9_mean,t9_median,t10_mean,t10_median,t11_mean,t11_median,t12_mean,t12_median
700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0
703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,0.5,0.5,0.3333333333333333,0,0.5,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
705,9.5,9.5,6.333333333333333,6,4.75,3,4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
706,1.5,1.5,1,1,0.75,0.5,0.6,0,0.8333333333333334,0.5,0.7142857142857143,0,0.75,0.5,0.6666666666666666,0,0.6,0,0.5454545454545454,0,0.5,0,0.46153846153846156,0
707,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.42857142857142855,0,1.125,0,1,0,0.9,0,0.9090909090909091,0,NaN,NaN,NaN,NaN
711,2,2,2.3333333333333335,2,1.75,2,1.4,2,1.1666666666666667,1,1,0,0.875,0,0.8888888888888888,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,NaN,NaN,NaN,NaN,NaN,NaN
724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
725,1,1,1.3333333333333333,2,1.25,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
726,5.5,5.5,3.6666666666666665,1,2.75,0.5,2.2,0,2.3333333333333335,0.5,2.142857142857143,1,2,1,1.7777777777777777,1,1.6,0.5,1.4545454545454546,0,1.3333333333333333,0,1.2307692307692308,0
727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,NaN,NaN,NaN,NaN
732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733,6.5,6.5,4.333333333333333,2,3.25,1,2.6,0,2.1666666666666665,0,1.8571428571428572,0,1.625,0,1.4444444444444444,0,1.3,0,1.1818181818181819,0,1.0833333333333333,0,1,0
735,0,0,0.3333333333333333,0,0.5,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0.125,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
739,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,0.5,0,0.4444444444444444,0,0.4,0,0.6363636363636364,0,0.8333333333333334,0,0.8461538461538461,0
740,1,1,3,1,3,2,2.6,1,3,2,2.857142857142857,2,3.125,2.5,2.7777777777777777,2,2.5,1.5,2.272727272727273,1,2.0833333333333335,1,1.9230769230769231,1
741,4.5,4.5,4,3,3,3,2.4,3,2,1.5,1.8571428571428572,1,1.625,0.5,1.6666666666666667,1,1.6,1,1.5454545454545454,1,1.5,1,1.3846153846153846,1
745,11.5,11.5,9,11,7.25,7.5,6.4,4,7.333333333333333,7.5,7.285714285714286,7,7.375,7.5,7.444444444444445,8,7,7.5,7.363636363636363,8,7.333333333333333,7.5,7.3076923076923075,7
