date,value,type
15,0.000,1601
16,0.000,1601
0,0.127,1630
1,0.155,1630
2,0.423,1630
3,0.831,1630
4,1.000,1630
5,0.986,1630
6,0.394,1630
7,0.268,1630
8,0.127,1630
9,0.169,1630
10,0.310,1630
11,0.197,1630
12,0.127,1630
13,0.183,1630
14,0.296,1630
15,0.239,1630
16,0.183,1630
17,0.268,1630
18,0.211,1630
19,0.408,1630
20,0.282,1630
21,0.380,1630
22,0.366,1630
23,0.282,1630
0,1.000,1638
1,0.060,1638
2,0.020,1638
3,0.040,1638
4,0.060,1638
5,0.060,1638
6,0.040,1638
7,0.020,1638
8,0.060,1638
9,0.020,1638
10,0.040,1638
11,0.080,1638
12,0.040,1638
13,0.020,1638
14,0.000,1638
15,0.040,1638
16,0.020,1638
17,0.020,1638
18,0.040,1638
19,0.020,1638
20,0.000,1638
21,0.000,1638
22,0.000,1638
23,0.000,1638
0,0.377,1642
1,0.245,1642
2,0.283,1642
3,0.453,1642
4,0.340,1642
5,0.245,1642
6,0.113,1642
7,0.226,1642
8,0.528,1642
9,0.698,1642
10,1.000,1642
11,0.849,1642
12,0.264,1642
13,0.302,1642
14,0.302,1642
15,0.189,1642
16,0.340,1642
17,0.170,1642
18,0.358,1642
19,0.170,1642
20,0.057,1642
21,0.019,1642
22,0.113,1642
23,0.038,1642
0,0.000,1672
1,0.000,1672
2,0.000,1672
3,0.000,1672
4,0.000,1672
5,0.000,1672
6,0.000,1672
7,0.300,1672
8,1.000,1672
9,0.067,1672
10,0.000,1672
11,0.000,1672
12,0.033,1672
13,0.000,1672
14,0.000,1672
15,0.033,1672
16,0.000,1672
17,0.000,1672
18,0.000,1672
19,0.000,1672
20,0.000,1672
21,0.000,1672
22,0.000,1672
23,0.000,1672
0,0.462,1723
1,1.000,1723
2,0.116,1723
3,0.075,1723
4,0.046,1723
5,0.029,1723
6,0.023,1723
7,0.012,1723
8,0.029,1723
9,0.035,1723
10,0.006,1723
11,0.012,1723
12,0.000,1723
13,0.006,1723
14,0.000,1723
15,0.000,1723
16,0.000,1723
17,0.000,1723
18,0.000,1723
19,0.000,1723
20,0.000,1723
21,0.000,1723
22,0.000,1723
23,0.000,1723
0,0.909,1750
1,1.000,1750
2,0.283,1750
3,0.336,1750
4,0.407,1750
5,0.501,1750
6,0.490,1750
7,0.091,1750
8,0.024,1750
9,0.041,1750
10,0.038,1750
11,0.118,1750
12,0.177,1750
13,0.277,1750
14,0.245,1750
15,0.369,1750
16,0.227,1750
17,0.139,1750
18,0.139,1750
19,0.056,1750
20,0.003,1750
21,0.000,1750
22,0.000,1750
23,0.000,1750
0,0.640,1778
1,0.860,1778
2,1.000,1778
3,0.453,1778
4,0.512,1778
5,0.872,1778
6,0.698,1778
7,0.616,1778
8,0.430,1778
9,0.744,1778
10,0.802,1778
11,0.570,1778
12,0.547,1778
13,0.221,1778
14,0.314,1778
15,0.174,1778
16,0.244,1778
17,0.267,1778
18,0.105,1778
19,0.267,1778
20,0.128,1778
21,0.628,1778
22,0.442,1778
23,0.326,1778
0,0.000,1781
1,0.000,1781
2,0.545,1781
3,0.182,1781
4,1.000,1781
5,0.545,1781
6,0.091,1781
7,0.136,1781
8,0.045,1781
9,0.182,1781
10,0.091,1781
11,0.091,1781
12,0.091,1781
13,0.000,1781
14,0.000,1781
15,0.000,1781
16,0.000,1781
17,0.045,1781
18,0.045,1781
19,0.000,1781
20,0.000,1781
21,0.000,1781
22,0.000,1781
23,0.000,1781
0,0.000,1787
1,0.000,1787
2,1.000,1787
3,0.394,1787
4,0.091,1787
5,0.303,1787
6,0.152,1787
7,0.121,1787
8,0.091,1787
9,0.061,1787
10,0.061,1787
11,0.030,1787
12,0.000,1787
13,0.000,1787
14,0.000,1787
15,0.061,1787
16,0.091,1787
17,0.061,1787
18,0.000,1787
19,0.000,1787
20,0.030,1787
21,0.000,1787
22,0.000,1787
23,0.000,1787
0,0.345,1792
1,0.250,1792
2,1.000,1792
3,0.357,1792
4,0.286,1792
5,0.417,1792
6,0.560,1792
7,0.357,1792
8,0.155,1792
9,0.262,1792
10,0.214,1792
11,0.167,1792
12,0.071,1792
13,0.202,1792
14,0.131,1792
15,0.071,1792
16,0.036,1792
17,0.167,1792
18,0.024,1792
19,0.226,1792
20,0.095,1792
21,0.000,1792
22,0.000,1792
23,0.000,1792
0,0.000,1799
1,0.000,1799
2,0.000,1799
3,0.000,1799
4,0.000,1799
5,0.000,1799
6,0.000,1799
7,0.000,1799
8,0.000,1799
9,0.000,1799
10,0.000,1799
11,1.000,1799
12,0.480,1799
13,0.240,1799
14,0.080,1799
15,0.200,1799
16,0.120,1799
17,0.040,1799
18,0.000,1799
19,0.120,1799
20,0.040,1799
21,0.000,1799
22,0.000,1799
23,0.000,1799
0,0.000,1810
1,0.000,1810
2,0.000,1810
3,0.000,1810
4,0.000,1810
5,0.000,1810
6,0.000,1810
7,0.000,1810
8,0.000,1810
9,1.000,1810
10,0.738,1810
11,0.190,1810
12,0.095,1810
13,0.143,1810
14,0.119,1810
15,0.119,1810
16,0.095,1810
17,0.119,1810
18,0.143,1810
19,0.095,1810
20,0.095,1810
21,0.048,1810
22,0.238,1810
23,0.071,1810
0,0.815,1813
1,0.667,1813
2,0.333,1813
3,0.370,1813
4,0.370,1813
5,0.148,1813
6,0.259,1813
7,0.222,1813
8,0.963,1813
9,0.556,1813
10,0.481,1813
11,0.333,1813
12,0.370,1813
13,0.407,1813
14,0.481,1813
15,0.630,1813
16,0.296,1813
17,0.704,1813
18,0.481,1813
19,1.000,1813
20,0.259,1813
21,0.333,1813
22,0.296,1813
23,0.444,1813
0,0.000,1819
1,0.000,1819
2,0.000,1819
3,0.000,1819
4,0.000,1819
5,0.600,1819
6,0.240,1819
7,0.240,1819
8,0.160,1819
