date,type,value
2016-03-01,ora_pv,3043
2016-03-01,a_pv,3119
2016-02-01,ra_pv,2723
2016-02-01,a_pv,2849
2016-02-01,ora_pv,2723
2016-02-01,pv,3666
2016-01-01,pv,2847
2016-01-01,ra_pv,2243
2016-01-01,ora_pv,2243
2016-01-01,a_pv,2348
2015-12-01,ora_pv,1601
2015-12-01,pv,2350
2015-12-01,a_pv,1880
2015-12-01,ra_pv,1601
2015-11-01,ra_pv,2081
2015-11-01,pv,2975
2015-11-01,a_pv,2191
2015-11-01,ora_pv,2081
2015-10-01,a_pv,2001
2015-10-01,ora_pv,1915
2015-10-01,pv,2703
2015-10-01,ra_pv,1915
2015-09-01,pv,2613
2015-09-01,ra_pv,1885
2015-09-01,ora_pv,1885
2015-09-01,a_pv,1966
2015-08-01,a_pv,1501
2015-08-01,pv,2107
2015-08-01,ora_pv,1418
2015-08-01,ra_pv,1418
2015-07-01,a_pv,2000
2015-07-01,pv,2753
2015-07-01,ora_pv,1929
2015-07-01,ra_pv,1929
2015-06-01,pv,3475
2015-06-01,a_pv,2709
2015-06-01,ora_pv,2602
2015-06-01,ra_pv,2602
2015-05-01,ra_pv,2110
2015-05-01,ora_pv,2110
2015-05-01,pv,3129
2015-05-01,a_pv,2239
2015-04-01,ora_pv,1781
2015-04-01,ra_pv,1781
2015-04-01,a_pv,2044
2015-04-01,pv,2903
2015-03-01,a_pv,2417
2015-03-01,ora_pv,2133
2015-03-01,pv,3119
2015-03-01,ra_pv,2133
2015-02-01,pv,3013
2015-02-01,ora_pv,1980
2015-02-01,a_pv,2208
2015-02-01,ra_pv,1980
2015-01-01,pv,2697
2015-01-01,a_pv,1814
2015-01-01,ora_pv,1668
2015-01-01,ra_pv,1668
2014-12-01,ora_pv,1306
2014-12-01,a_pv,1345
2014-12-01,pv,2159
2014-12-01,ra_pv,1306
2014-11-01,ra_pv,1537
2014-11-01,a_pv,1581
2014-11-01,pv,2760
2014-11-01,ora_pv,1537
2014-10-01,ora_pv,1699
2014-10-01,ra_pv,1699
2014-10-01,a_pv,1769
2014-10-01,pv,2764
2014-09-01,ora_pv,1738
2014-09-01,a_pv,1901
2014-09-01,ra_pv,1738
2014-09-01,pv,2895
2014-08-01,pv,2658
2014-08-01,a_pv,1705
2014-08-01,ra_pv,1663
2014-08-01,ora_pv,1663
2014-07-01,ra_pv,2099
2014-07-01,ora_pv,2099
2014-07-01,pv,3605
2014-07-01,a_pv,2133
2014-06-01,a_pv,1872
2014-06-01,ora_pv,1815
2014-06-01,ra_pv,1815
2014-06-01,pv,3264
2014-05-01,ora_pv,1754
2014-05-01,a_pv,1853
2014-05-01,pv,3282
2014-05-01,ra_pv,1754
2014-04-01,ora_pv,1303
2014-04-01,a_pv,1312
2014-04-01,pv,2512
2014-04-01,ra_pv,1303
2014-03-01,ra_pv,1427
2014-03-01,a_pv,1463
2014-03-01,pv,3073
2014-03-01,ora_pv,1427
2014-02-01,a_pv,1688
2014-02-01,pv,3324
2014-02-01,ra_pv,1671
2014-02-01,ora_pv,1671
2014-01-01,ra_pv,1041
2014-01-01,a_pv,1053
2014-01-01,pv,2764
2014-01-01,ora_pv,1041
2013-12-01,a_pv,774
2013-12-01,ra_pv,766
2013-12-01,pv,2651
2013-12-01,ora_pv,766
2013-11-01,a_pv,963
2013-11-01,ra_pv,948
2013-11-01,ora_pv,948
2013-11-01,pv,4177
2013-10-01,ora_pv,1083
2013-10-01,pv,3782
2013-10-01,a_pv,1091
2013-10-01,ra_pv,1083
2013-09-01,pv,6888
2013-09-01,ra_pv,3273
2013-09-01,a_pv,3274
2013-09-01,ora_pv,1004
2013-08-01,pv,3501
2013-08-01,ra_pv,1090
2013-08-01,ora_pv,1090
2013-08-01,a_pv,1093
2013-07-01,a_pv,1026
2013-07-01,pv,4240
2013-07-01,ora_pv,1020
2013-07-01,ra_pv,1020
2013-06-01,ra_pv,1571
2013-06-01,ora_pv,1399
2013-06-01,a_pv,1580
2013-06-01,pv,4344
2013-05-01,ora_pv,1035
2013-05-01,pv,3992
2013-05-01,ra_pv,1527
2013-05-01,a_pv,1527
2013-04-01,pv,4325
2013-04-01,ra_pv,1769
2013-04-01,ora_pv,960
2013-04-01,a_pv,1769
