jahr,geber,politikbereich,betrag,plz,name,zweck,empfaengertyp,empfaengerid
2014,16,02,1553,200,1460,19556,15,4819
2014,16,02,2732,200,1460,19557,15,4819
2014,16,02,20736,200,1460,25359,15,4819
2014,16,02,21100,200,1460,25360,15,4819
2014,16,02,58436,200,1460,25910,15,4819
2014,16,02,47852,200,1460,25913,15,4819
2014,16,02,46956,200,1460,25914,15,4819
2014,16,02,44925,200,1460,25484,15,4819
2014,16,02,41976,200,1460,25485,15,4819
2014,16,02,19166,200,1460,25515,15,4819
2014,16,02,29739,200,1460,25606,15,4819
2014,16,02,17321,200,1460,25671,15,4819
2015,16,02,36000,200,1460,1813,15,4819
2015,16,02,36000,200,1460,1566,15,4819
2015,16,02,38733,200,1460,1825,15,4819
2015,16,02,69078,200,1460,1827,15,4819
2015,16,02,76777,200,1460,1828,15,4819
2015,16,02,42686,200,1460,1830,15,4819
2015,16,02,40278,200,1460,1832,15,4819
2015,16,02,14520,200,1460,9578,15,4819
2015,16,02,12022,200,1460,9613,15,4819
2015,16,02,7848,200,1460,9664,15,4819
2015,16,02,11808,200,1460,9668,15,4819
2015,16,02,16100,200,1460,9701,15,4819
2015,16,02,5799,200,1460,11936,15,4819
2015,16,02,12389,200,1460,11952,15,4819
2015,16,02,60624,200,1460,11954,15,4819
2015,16,02,29447,200,1460,12066,15,4819
2015,16,02,3259,200,1460,12392,15,4819
2015,16,02,1557,200,1460,12555,15,4819
2015,16,02,8037,200,1460,12624,15,4819
2015,16,02,68955,200,1460,25359,15,4819
2015,16,02,71607,200,1460,25360,15,4819
2015,16,02,44049,200,1460,25911,15,4819
2015,16,02,45435,200,1460,25912,15,4819
2015,16,02,44063,200,1460,25512,15,4819
2015,16,02,6404,200,1460,25515,15,4819
2015,16,02,36476,200,1460,25522,15,4819
2015,16,02,42000,200,1460,25517,15,4819
2015,16,02,42000,200,1460,25518,15,4819
2015,16,02,42000,200,1460,25519,15,4819
2015,16,02,58847,200,1460,25606,15,4819
2015,16,02,43672,200,1460,25607,15,4819
2015,16,02,40653,200,1460,25608,15,4819
2015,16,02,33919,200,1460,25609,15,4819
2015,16,02,28552,200,1460,25610,15,4819
2015,16,02,44344,200,1460,25611,15,4819
2015,16,02,18454,200,1460,25671,15,4819
2015,16,02,16345,200,1460,25672,15,4819
2016,16,02,49017,200,1460,1813,15,4819
2016,16,02,45165,200,1460,1565,15,4819
2016,16,02,14520,200,1460,9578,15,4819
2016,16,02,14560,200,1460,9662,15,4819
2016,16,02,14950,200,1460,9663,15,4819
2016,16,02,5184,200,1460,9664,15,4819
2016,16,02,11592,200,1460,9668,15,4819
2016,16,02,14620,200,1460,9669,15,4819
2016,16,02,13800,200,1460,9701,15,4819
2016,16,02,34619,200,1460,11475,15,4819
2016,16,02,32135,200,1460,11476,15,4819
2016,16,02,33154,200,1460,11477,15,4819
2016,16,02,21879,200,1460,11478,15,4819
2016,16,02,36477,200,1460,11479,15,4819
2016,16,02,32286,200,1460,11480,15,4819
2016,16,02,8565,200,1460,12881,15,4819
2016,16,02,26812,200,1460,12818,15,4819
2016,16,02,26217,200,1460,12819,15,4819
2016,16,02,11114,200,1460,11936,15,4819
2016,16,02,13577,200,1460,11952,15,4819
2016,16,02,63395,200,1460,11954,15,4819
2016,16,02,45479,200,1460,12066,15,4819
2016,16,02,4000,200,1460,16175,15,4819
2016,16,02,3831,200,1460,21650,15,4819
2016,16,02,52722,200,1460,25517,15,4819
2016,16,02,53561,200,1460,25518,15,4819
2016,16,02,57327,200,1460,25519,15,4819
2016,16,02,5140,200,1460,27797,15,4819
2016,16,02,14643,200,1460,27803,15,4819
2016,16,02,19470,200,1460,33975,15,4819
2016,16,02,15668,200,1460,33976,15,4819
2016,16,02,16476,200,1460,33977,15,4819
2016,16,02,30786,200,1460,31268,15,4819
2016,16,02,30439,200,1460,31269,15,4819
2016,16,02,31002,200,1460,31270,15,4819
2016,16,02,31499,200,1460,31271,15,4819
2016,16,02,38336,200,1460,31497,15,4819
2016,16,02,103576,200,1460,32913,15,4819
2016,16,13,78211,200,1460,17046,15,4819
2010,23,02,39060,135,1460,1809,00,6103
2010,23,02,40000,135,1460,1816,00,6103
2010,23,02,40648,135,1460,1821,00,6103
2010,23,02,40762,135,1460,1823,00,6103
2010,23,02,14040,135,1460,6666,00,6103
2010,23,02,27999,135,1460,12800,00,6103
2010,23,02,28116,135,1460,12797,00,6103
2010,23,02,28000,135,1460,12798,00,6103
2010,23,02,28231,135,1460,12799,00,6103
2010,23,02,14040,135,1460,18293,00,6103
2010,23,02,12215,135,1460,18294,00,6103
2010,23,02,12275,135,1460,18295,00,6103
2010,23,02,4492,135,1460,19437,00,6103
2010,23,02,2580,135,1460,19450,00,6103
2010,23,02,13831,135,1460,26874,00,6103
2010,23,02,11718,135,1460,26875,00,6103
2011,23,02,141249,135,1460,3029,15,4819
2011,23,02,141249,135,1460,3030,15,4819
2011,23,02,11160,135,1460,6664,15,4819
2011,23,02,13709,135,1460,6665,15,4819
2011,23,02,9288,135,1460,6667,15,4819
2011,23,02,8778,135,1460,6672,15,4819
2011,23,02,8100,135,1460,6673,15,4819
2011,23,02,30000,135,1460,12801,15,4819
2011,23,02,29340,135,1460,12802,15,4819
2011,23,02,7200,135,1460,12855,15,4819
2011,23,02,30999,135,1460,12876,15,4819
2011,23,02,26909,135,1460,12879,15,4819
2011,23,02,20349,135,1460,12877,15,4819
2011,23,02,30959,135,1460,12878,15,4819
2011,23,02,29999,135,1460,18287,15,4819
2011,23,02,9194,135,1460,18291,15,4819
2011,23,02,12672,135,1460,18292,15,4819
2011,23,02,9741,135,1460,18350,15,4819
2011,23,02,6055,135,1460,19437,15,4819
2011,23,02,8190,135,1460,26905,15,4819
2014,08,14,15000,200,8246,17876,15,4818
2015,08,14,15000,200,8246,17876,15,4818
2016,08,17,43000,200,1460,7166,15,4819
2016,08,20,8850,200,1460,2906,15,4819
2016,28,28,2700,277,8201,8484,15,5851
2011,21,11,961,10,1461,17392,28,4080
2016,04,11,15600,10,1461,5680,28,4080
2015,15,17,65000,10,1461,21586,28,4080
2015,16,13,89277,10,1461,8298,28,4080
2015,16,13,21466,10,1461,28212,28,4080
2016,16,13,21492,10,1461,16459,28,4080
2016,16,13,160271,10,1461,16470,28,4080
2016,16,13,99694,10,1461,16469,28,4080
2016,16,13,14125,10,1461,32232,28,4080
2009,18,09,400000,10,1461,24877,28,4080
2009,18,09,1300000,10,1461,31343,28,4080
2010,18,09,800000,10,1461,24877,28,4080
2010,18,09,1300000,10,1461,31343,28,4080
2012,20,11,420000,291,1461,26650,28,4080
2013,20,11,420000,291,1461,26649,28,4080
2015,22,19,156837,325,1461,11608,28,4080
2016,22,19,156837,10,1461,11608,28,4080
2014,25,15,150000,10,1461,15329,28,4080
2015,25,15,150000,10,1461,15331,28,4080
2016,25,15,750000,10,1461,15330,28,4080
2012,28,09,30018,10,1461,9028,28,4080
2012,28,09,1300000,10,1461,31343,28,4080
2013,28,09,62622,10,1461,9028,28,4080
2013,28,09,1300000,10,1461,31343,28,4080
2013,28,28,95000,10,1461,16218,28,4080
2013,28,28,182193,10,1461,33291,28,4080
2013,28,28,353939,10,1461,33292,28,4080
2013,28,28,61082,10,1461,33294,28,4080
2013,28,28,124850,10,1461,33295,28,4080
2013,28,28,111031,10,1461,33296,28,4080
2013,28,28,362266,10,1461,16577,28,4080
2013,28,28,368015,10,1461,29091,28,4080
2013,28,28,100000,21,1461,403,28,4080
2014,28,09,95000,10,1461,9028,28,4080
2014,28,09,1072007,10,1461,31343,28,4080
2014,28,28,226246,10,1461,3384,28,4080
2014,28,28,100000,21,1461,32096,28,4080
2015,28,09,201152,10,1461,9028,28,4080
2015,28,09,1000000,10,1461,31343,28,4080
2015,28,28,353930,10,1461,23635,28,4080
2016,28,28,148118,10,1461,8369,28,4080
2016,28,09,235277,10,1461,9028,28,4080
2016,28,09,1400000,10,1461,31343,28,4080
2016,28,28,546362,10,1461,33535,28,4080
2011,29,09,1398350,10,1461,24872,28,4080
2011,29,09,183500,10,1461,29951,28,4080
2009,30,11,147800,10,1461,32649,28,4080
2012,28,28,250403,10,1461,10316,28,4080
2009,29,28,326937,10,1370,8321,00,6103
2009,29,28,535918,10,1370,13666,00,6103
2009,29,28,265598,10,1370,20791,00,6103
2009,29,28,116902,10,1370,21485,00,6103
2009,29,28,732487,10,1370,21568,00,6103
2009,29,28,225563,10,1370,20913,00,6103
2009,29,28,1154359,10,1370,23879,00,6103
2009,29,28,165952,10,1370,27596,00,6103
2009,29,28,322540,10,1370,30548,00,6103
2009,29,28,404125,10,1370,31157,00,6103
2010,29,28,452765,10,1370,198,00,6103
2010,29,28,845300,10,1370,6438,00,6103
2010,29,28,80340,10,1370,15173,00,6103
2010,29,28,227212,10,1370,16753,00,6103
2010,29,28,231000,10,1370,20577,00,6103
2010,29,28,167750,10,1370,21500,00,6103
2010,29,28,138077,10,1370,24978,00,6103
2010,29,28,249100,10,1370,27741,00,6103
2010,29,28,343500,10,1370,29263,00,6103
2010,29,28,386849,10,1370,29280,00,6103
2010,29,28,1459562,10,1370,32216,00,6103
2011,29,28,400000,10,1461,2113,28,4080
2011,29,28,142303,10,1461,10434,28,4080
2011,29,28,616834,10,1461,14925,28,4080
2011,29,28,75000,10,1461,32150,28,4080
2011,29,28,124020,10,1461,32153,28,4080
2011,29,28,154262,10,1461,32154,28,4080
2015,30,17,250000,10,1461,21869,28,4080
2015,30,20,146500,10,1461,13354,28,4080
2016,30,20,308000,10,1461,13424,28,4080
2012,15,17,15000,10,1461,3254,28,4080
2013,17,00,541339,10,1461,7679,28,4080
2014,17,29,599025,10,1461,7679,28,4080
2014,17,29,52547,10,1461,20324,28,4080
2009,29,28,7560,10,1462,17695,15,4027
2012,28,28,100000,21,1461,402,28,4080
2011,29,09,13000,10,1461,9028,28,4080
2011,26,25,116382,10,1463,26148,00,6103
2015,01,23,11973,23,8202,9847,15,5254
2016,01,23,11973,23,8202,9847,15,5254
2015,05,13,5992,23,8202,18414,15,5254
2016,05,13,10967,23,8202,18414,15,5254
2012,27,25,186277,10,1461,26148,28,4080
2011,29,09,1300000,10,1461,31343,28,4080
2010,29,28,140000,181,1464,24223,00,6103
2012,27,03,102714,347,1465,3334,00,6103
2012,27,03,56858,347,1465,3335,00,6103
2015,27,25,25417,347,1466,6622,12,46
